pecha_id,start,end_exclusive
I0156A8B1,1110,1230
I0156A8B1,2026,2260
I0156A8B1,4907,5106
I0156A8B1,18547,18571
I0156A8B1,19666,19791
I0156A8B1,20059,20122
I0156A8B1,20766,20826
I0156A8B1,21845,21906
I0156A8B1,22148,22216
I0156A8B1,22591,22685
I0156A8B1,24296,24396
I0156A8B1,25312,25336
I0156A8B1,26108,26134
I0156A8B1,26559,26604
I0156A8B1,29086,29152
I0156A8B1,32978,32999
I0156A8B1,37354,37400
I0156A8B1,42545,42681
I0156A8B1,44755,44764
I0156A8B1,50817,50924
I0156A8B1,54631,54640
I0156A8B1,60915,60967
I0156A8B1,61325,61334
I048844DB,358,501
I048844DB,1254,1274
I048844DB,1439,1687
I048844DB,2564,2617
I048844DB,3231,3252
I048844DB,3930,3949
I048844DB,4439,4501
I048844DB,5890,5919
I048844DB,7177,7208
I048844DB,7759,7791
I048844DB,8366,8407
I048844DB,9072,9123
I048844DB,9694,9736
I048844DB,10901,11437
I048844DB,12044,12078
I048844DB,12718,12753
I048844DB,13351,13381
I048844DB,14242,14517
I048844DB,14917,14941
I048844DB,15555,15606
I048844DB,16223,16261
I048844DB,16728,16753
I048844DB,17154,17208
I048844DB,17588,17626
I048844DB,18055,18098
I048844DB,18884,18932
I048844DB,19540,19574
I048844DB,20538,20585
I048844DB,21086,21146
I048844DB,21754,21800
I048844DB,22492,22534
I048844DB,23131,23169
I048844DB,24010,24315
I048844DB,25503,25541
I048844DB,26275,26312
I048844DB,27056,27082
I048844DB,27792,27833
I048844DB,28137,28172
I048844DB,28632,28664
I048844DB,29232,29286
I048844DB,29968,29996
I048844DB,31348,31386
I048844DB,32439,32468
I048844DB,33793,33912
I048844DB,34424,34468
I048844DB,36537,36593
I048844DB,37237,37269
I048844DB,37911,38071
I048844DB,39255,39278
I048844DB,42743,42763
I048844DB,43394,43682
I048844DB,44305,44341
I048844DB,45003,45055
I048844DB,46399,46452
I048844DB,47059,47115
I048844DB,47684,47891
I048844DB,48975,49023
I048844DB,49714,49756
I069801F1,41735,41791
I069801F1,41793,41914
I069801F1,51449,51496
I07240379,875,892
I07240379,894,958
I07240379,960,973
I07240379,975,987
I07240379,989,1002
I07240379,1004,1073
I07240379,1075,1088
I07240379,1090,1112
I07240379,1114,1154
I07240379,1156,1170
I07240379,1172,1185
I07240379,1187,1199
I07240379,1201,1226
I07240379,1228,1282
I07240379,1284,1304
I07240379,1306,1341
I07240379,1343,1367
I07240379,1369,1376
I07240379,1378,1388
I07240379,1390,1398
I07240379,1400,1416
I07240379,1418,1447
I07240379,1449,1479
I07240379,1481,1507
I07240379,1509,1538
I07240379,1540,1569
I07240379,1571,1599
I07240379,1601,1646
I07240379,1648,1674
I07240379,1676,1720
I07240379,1722,1745
I07240379,1747,1769
I07240379,1771,1820
I07240379,1822,1861
I07240379,1863,1910
I07240379,1912,1945
I07240379,1947,1963
I07240379,1965,1982
I07240379,1984,2001
I07240379,2003,2016
I07240379,2018,2031
I07240379,2033,2083
I07240379,2085,2111
I07240379,2113,2141
I07240379,2143,2166
I07240379,2168,2187
I07240379,2189,2226
I07240379,2228,2252
I07240379,2254,2279
I07240379,2281,2307
I07240379,2309,2380
I07240379,2382,2409
I07240379,2411,2442
I07240379,2444,2480
I07240379,2482,2529
I07240379,2531,2587
I07240379,2589,2634
I07240379,2636,2677
I07240379,2679,2707
I07240379,2709,2737
I07240379,2739,2771
I07240379,2773,2800
I07240379,2802,2864
I07240379,2866,2899
I07240379,2901,2944
I07240379,2946,2968
I07240379,2970,2999
I07240379,3001,3019
I07240379,20470,20706
I07240379,22363,22411
I07240379,23411,23432
I07240379,24385,24405
I07240379,26464,26530
I07240379,28831,29093
I07240379,29095,29122
I07240379,29849,29892
I07240379,31779,31856
I07240379,32070,32088
I07240379,32822,32838
I07240379,33961,33977
I07240379,34312,34544
I07240379,34546,34587
I07240379,36002,36040
I07240379,37126,37160
I07240379,38091,38127
I07240379,38899,38934
I07240379,39670,39706
I07240379,40306,40359
I07240379,40906,40950
I07240379,41210,41261
I07240379,42448,42578
I07240379,42580,42610
I07240379,43392,43565
I07240379,43567,44736
I07240379,44738,44785
I07240379,45677,45732
I07240379,46708,46748
I07240379,47588,47619
I07240379,49319,49426
I07240379,51080,51101
I07240379,51784,51805
I07240379,53919,53952
I07240379,54621,54736
I07240379,55347,55371
I07240379,60891,60915
I07240379,61382,61410
I07240379,61527,61593
I07240379,62300,62325
I07240379,67533,67558
I07240379,74674,74708
I07240379,75166,75206
I07240379,75986,76030
I07240379,80561,80615
I07240379,117856,117891
I07240379,118750,118789
I07240379,119983,120032
I07240379,122237,122258
I07240379,123812,123845
I07ECF0AE,68276,68299
I07ECF0AE,68301,68329
I07ECF0AE,68331,68363
I07ECF0AE,75362,75386
I07ECF0AE,75388,75417
I07ECF0AE,75419,75451
I07ECF0AE,92012,92039
I07ECF0AE,92041,92071
I07ECF0AE,92073,92097
I07ECF0AE,92099,92131
I08405360,714,1029
I08405360,1245,1314
I08405360,1763,2106
I08405360,2617,2717
I08405360,2804,2968
I08405360,3775,3848
I08405360,6133,6696
I08405360,6852,6949
I08405360,7365,7431
I08405360,8035,8114
I08405360,9169,9217
I08405360,11015,11305
I08405360,11957,12045
I08405360,12464,12506
I08405360,12666,12786
I08405360,13407,13501
I08405360,15037,15126
I08405360,15400,15482
I08405360,15771,15880
I08405360,16236,16350
I08405360,16742,16793
I08405360,17017,17217
I08405360,17729,17873
I08405360,18603,18632
I08405360,18772,18795
I08405360,19212,19389
I08405360,19422,19519
I08405360,20189,20280
I08405360,20337,20461
I08405360,20611,20735
I08405360,20949,20984
I08405360,21098,21161
I08405360,22310,22369
I08405360,22469,22521
I08405360,22558,22613
I08405360,22732,22749
I08405360,23663,23947
I08405360,24919,24974
I08405360,25856,26078
I08405360,26579,26711
I08405360,27572,27674
I08405360,29175,29286
I08405360,30887,30978
I08405360,31201,31308
I08405360,34813,34836
I08405360,35760,35777
I08405360,36110,36132
I08405360,36484,36593
I08405360,36894,37053
I08405360,37294,37395
I08405360,37544,37634
I08405360,39995,40112
I08405360,40494,40576
I08405360,41579,41679
I08405360,46036,46182
I08405360,46254,46342
I08405360,46583,46703
I08405360,47034,47144
I08405360,47353,47443
I08405360,47889,47966
I08405360,48332,48413
I08405360,48746,48902
I08405360,54574,54814
I08405360,56012,56158
I08405360,58333,58415
I08405360,58512,58623
I08405360,60275,60353
I08405360,60908,61009
I08405360,61077,61168
I08405360,61245,61494
I08405360,61863,61946
I08405360,62042,62131
I08405360,62185,62350
I08405360,63398,63455
I08405360,63557,63665
I08405360,64548,64690
I08405360,65623,65804
I08405360,67188,67430
I08405360,69183,69315
I08405360,69741,69952
I08405360,70884,70972
I08405360,71785,71829
I08405360,72290,72327
I08405360,72479,72600
I08405360,73978,74044
I08405360,74307,74502
I08405360,76585,76753
I08405360,77795,77861
I08405360,78024,78101
I08405360,80584,80697
I08405360,82138,82267
I08405360,84907,85070
I08405360,89833,90002
I08405360,92515,92635
I08405360,93558,93655
I08405360,97346,97736
I08405360,107411,107469
I08405360,107836,108011
I08405360,110809,110967
I08405360,113822,113962
I08405360,115349,115447
I08405360,118414,118498
I08405360,118666,118748
I08405360,120158,120242
I08405360,124024,124098
I08405360,125290,125619
I08405360,129349,129499
I08405360,130457,130577
I08405360,137555,137695
I08405360,140367,140617
I08405360,140956,141021
I08405360,143493,143646
I08405360,146435,146613
I08405360,146963,147163
I08405360,149013,149102
I08405360,149615,149739
I08405360,150422,150487
I08405360,150790,150849
I08405360,151437,151596
I08405360,152783,152890
I08405360,155884,155954
I08405360,157240,157378
I08405360,158046,158182
I08405360,161532,161700
I08405360,161995,162073
I08405360,162334,162470
I08405360,162521,162586
I08405360,167182,167209
I08405360,167490,167627
I08405360,168221,168317
I08405360,170682,170868
I08405360,171243,171297
I08405360,171571,171836
I08405360,172305,172423
I08405360,173732,173756
I08405360,173999,174025
I08405360,174211,174328
I08405360,174734,174828
I08405360,175720,175791
I08405360,177075,177185
I08405360,177431,177551
I08405360,179836,180062
I08405360,180388,180629
I08405360,181585,181639
I08405360,189759,189874
I08405360,192252,192350
I08405360,194996,195124
I08405360,201425,201509
I08405360,203382,203632
I08405360,204548,204698
I08405360,205334,205500
I08405360,207757,207810
I08405360,207936,208050
I08405360,208152,208229
I08405360,212373,212504
I08405360,212737,213052
I08405360,216048,216153
I08405360,220790,220987
I08405360,221803,221843
I08405360,222797,223092
I08405360,224621,224689
I08405360,225881,225987
I08405360,227915,227937
I08405360,229220,229332
I08405360,233337,233369
I08405360,233576,233879
I08405360,235304,235485
I08405360,237441,237517
I08405360,237613,237748
I08405360,238798,238922
I08405360,240775,240867
I08405360,240919,240983
I08405360,241675,241794
I08405360,243043,243110
I08405360,243241,243393
I08405360,243485,243581
I08405360,247995,248103
I08405360,248196,248284
I08405360,248466,248606
I08405360,250157,250235
I08405360,250949,251031
I08405360,251153,251230
I08405360,251432,251563
I08405360,251896,251978
I08405360,252310,252385
I08405360,252992,253057
I08405360,253368,253443
I08405360,253525,253646
I08405360,254384,254415
I08405360,254632,254703
I08405360,256051,256373
I08405360,256834,256951
I08405360,257218,257308
I08405360,258407,258507
I08405360,259040,259115
I08405360,259945,260036
I08405360,260122,260243
I08405360,260430,260528
I08405360,260776,260881
I08405360,260995,261130
I08405360,261289,261351
I08405360,262985,263046
I08405360,263081,263184
I08405360,263541,263578
I08405360,264300,264514
I08405360,266132,266178
I08405360,266907,266946
I08405360,267403,267491
I08405360,268747,268833
I08405360,269764,269911
I08405360,270004,270095
I08405360,270943,270962
I08405360,271357,271446
I08405360,274062,274123
I08405360,274225,274431
I08405360,275301,275369
I08405360,277676,277779
I08405360,277818,277878
I08405360,277906,277993
I08405360,278388,278421
I08405360,278834,279009
I08405360,279343,279504
I08405360,284448,284494
I08405360,289227,289371
I08405360,292408,292494
I08405360,292574,292662
I08405360,294341,294430
I08405360,294675,294748
I08405360,295832,295935
I08405360,298783,298880
I08405360,299621,299723
I08405360,300558,300661
I08405360,302573,302780
I08405360,308091,308252
I08405360,308620,308724
I08405360,309501,309615
I08405360,309768,309831
I08405360,310172,310251
I08405360,310698,310780
I08405360,311001,311234
I08405360,311305,311406
I08405360,312733,312827
I08405360,318392,318457
I08405360,319868,319933
I08405360,320712,320805
I08405360,320853,320994
I08405360,325978,326025
I08405360,327653,327811
I08405360,343011,343164
I08405360,343734,343953
I0B81CD66,159,224
I0B81CD66,226,258
I0B81CD66,260,275
I0B81CD66,277,289
I0B81CD66,291,302
I0B81CD66,304,332
I0B81CD66,334,373
I0B81CD66,375,406
I0B81CD66,408,438
I0B81CD66,440,461
I0B81CD66,463,494
I0B81CD66,496,529
I0B81CD66,531,555
I0B81CD66,557,591
I0B81CD66,593,609
I0B81CD66,611,628
I0B81CD66,630,650
I0B81CD66,652,678
