pecha_id,batch,n_spans,heading_rate_raw,heading_rate_final,realigned,n_offset_segments,verdict
I0156A8B1,new,23,1.0,1.0,False,0,keep
I048844DB,new,58,1.0,1.0,False,0,keep
I069801F1,new,3,1.0,1.0,False,0,keep
I07240379,new,118,1.0,1.0,False,0,keep
I07ECF0AE,new,10,1.0,1.0,False,0,keep
I08405360,new,250,1.0,1.0,False,0,keep
I0B81CD66,new,479,0.996,1.0,False,0,keep
I0FCFA88F,new,248,0.976,0.996,False,0,keep
I100E7DAD,new,403,0.998,1.0,False,0,keep
I10C4C4B5,new,107,1.0,1.0,False,0,keep
I130B5D0F,new,20,0.9,0.9,False,0,keep
I163178A0,new,20,1.0,1.0,False,0,keep
I1637B774,new,11,1.0,1.0,False,0,keep
I19A08A51,new,19,1.0,1.0,False,0,keep
I1DCBD5CC,new,52,0.981,1.0,False,0,keep
I2133CA39,new,522,0.996,0.998,False,0,keep
I23323023,new,1,1.0,1.0,False,0,keep
I2342D649,new,163,1.0,1.0,False,0,keep
I24EDBDA0,new,118,0.449,0.458,False,0,keep
I25463E37,new,24,0.417,0.417,False,0,keep
I2618C5EC,new,40,1.0,1.0,False,0,keep
I27E347E9,new,162,0.994,1.0,False,0,keep
I29CFF9F3,new,147,1.0,1.0,False,0,keep
I29E8AA65,new,94,0.968,1.0,False,0,keep
I2B02A144,new,127,0.976,0.984,False,0,keep
I2D0F4FAF,new,8,1.0,1.0,False,0,keep
I2D96E5C8,new,489,0.998,1.0,False,0,keep
I2E52374B,new,280,1.0,1.0,False,0,keep
I2EAAF38A,new,126,1.0,1.0,False,0,keep
I2FCD4B1D,new,327,1.0,1.0,False,0,keep
I319DAFF7,new,15,1.0,1.0,False,0,keep
I31F3338B,new,41,1.0,1.0,False,0,keep
I32431963,new,24,1.0,1.0,False,0,keep
I330D366C,new,32,1.0,1.0,False,0,keep
I33763376,new,57,1.0,1.0,False,0,keep
I36A7A668,new,88,1.0,1.0,False,0,keep
I3B871A64,new,31,1.0,1.0,False,0,keep
I3F4A91F5,new,367,0.995,1.0,False,0,keep
I40E5024E,new,41,1.0,1.0,False,0,keep
I4232A561,new,39,1.0,1.0,False,0,keep
I45222122,new,186,1.0,1.0,False,0,keep
I4A6AC1AA,new,5,1.0,1.0,False,0,keep
I4ABDA91A,new,63,1.0,1.0,False,0,keep
I4B1806B4,new,25,1.0,1.0,False,0,keep
I4BECA32D,new,153,1.0,1.0,False,0,keep
I4CAE7B8B,new,279,0.996,1.0,False,0,keep
I4E0DAA7C,new,129,0.946,0.946,False,0,keep
I4EE8C636,new,137,1.0,1.0,False,0,keep
I4FABF1F8,new,123,1.0,1.0,False,0,keep
I4FD99A33,new,211,0.981,0.991,False,0,keep
I4FDF07E7,new,52,1.0,1.0,False,0,keep
I5048861E,new,33,1.0,1.0,False,0,keep
I5134B437,new,13,1.0,1.0,False,0,keep
I518A01A8,new,11,0.909,1.0,False,0,keep
I51B9FE5F,new,70,1.0,1.0,False,0,keep
I52248444,new,236,0.987,1.0,False,0,keep
I54375004,new,24,0.458,0.458,False,0,keep
I55D7A55C,new,165,1.0,1.0,False,0,keep
I575514A8,new,77,0.987,1.0,False,0,keep
I577D1677,new,11,1.0,1.0,False,0,keep
I57BB7B28,new,347,1.0,1.0,False,0,keep
I587B7DED,new,8,1.0,1.0,False,0,keep
I5AEEE5CA,new,483,1.0,1.0,False,0,keep
I5BFCBB3F,new,76,1.0,1.0,False,0,keep
I5F5D9F5A,new,139,0.993,1.0,False,0,keep
I60D0ED54,new,25,1.0,1.0,False,0,keep
I617FDD1E,new,14,1.0,1.0,False,0,keep
I6193773E,new,26,1.0,1.0,False,0,keep
I61AB8DA8,new,228,1.0,1.0,False,0,keep
I62D7430C,new,10,1.0,1.0,False,0,keep
I6380CEC4,new,185,0.995,1.0,False,0,keep
I64B5DDDD,new,36,1.0,1.0,False,0,keep
I6A834445,new,56,1.0,1.0,False,0,keep
I6F43CD1F,new,15,1.0,1.0,False,0,keep
I74772DFF,new,52,0.981,1.0,False,0,keep
I786395B4,new,344,1.0,1.0,False,0,keep
I78C84F85,new,23,1.0,1.0,False,0,keep
I7A79CC95,new,23,1.0,1.0,False,0,keep
I7D476A8B,new,55,1.0,1.0,False,0,keep
I8006C360,new,26,1.0,1.0,False,0,keep
I82AB29CD,new,8,0.125,0.125,False,0,exclude
I849C345E,new,48,1.0,1.0,False,0,keep
I85485484,new,18,1.0,1.0,False,0,keep
I85C28EDA,new,44,0.977,1.0,False,0,keep
I8698A1DF,new,5,1.0,1.0,False,0,keep
I881A57E8,new,100,1.0,1.0,False,0,keep
I88977D82,new,215,0.995,1.0,False,0,keep
I88CF073C,new,4,1.0,1.0,False,0,keep
I88DA3111,new,29,1.0,1.0,False,0,keep
I895C519A,new,77,1.0,1.0,False,0,keep
I8961718B,new,111,0.991,1.0,False,0,keep
I8994AAB2,new,595,0.998,1.0,False,0,keep
I8A57AE06,new,29,1.0,1.0,False,0,keep
I8B49E87B,new,83,1.0,1.0,False,0,keep
I8D6D2565,new,27,1.0,1.0,False,0,keep
I8E747E8E,new,75,1.0,1.0,False,0,keep
I8EC6D8E9,new,26,1.0,1.0,False,0,keep
I91949F99,new,278,0.996,1.0,False,0,keep
I920AA7AC,new,536,0.998,1.0,False,0,keep
I9434034F,new,6,1.0,1.0,False,0,keep
I9658BC87,new,10,0.9,0.9,False,0,keep
I9779A606,new,19,1.0,1.0,False,0,keep
I9779E60E,new,13,1.0,1.0,False,0,keep
I97B90DC0,new,150,0.94,0.947,False,0,keep
I9811592F,new,26,1.0,1.0,False,0,keep
I98D03292,new,814,0.999,1.0,False,0,keep
I99DF06AA,new,112,1.0,1.0,False,0,keep
I99F347E4,new,7,1.0,1.0,False,0,keep
I9AEEF96A,new,22,1.0,1.0,False,0,keep
I9B6A4525,new,196,1.0,1.0,False,0,keep
I9CB71958,new,192,0.964,0.995,False,0,keep
I9D810AA7,new,3,1.0,1.0,False,0,keep
I9D9C7AC9,new,42,1.0,1.0,False,0,keep
I9E666AF8,new,7,1.0,1.0,False,0,keep
I9FF2B59B,new,34,1.0,1.0,False,0,keep
IA2F1ACFA,new,344,1.0,1.0,False,0,keep
IA3DD1ADA,new,33,1.0,1.0,False,0,keep
IA473D353,new,11,1.0,1.0,False,0,keep
IA736981A,new,112,0.991,1.0,False,0,keep
IAA85B9B5,new,13,1.0,1.0,False,0,keep
IAAADCAA0,new,6,1.0,1.0,False,0,keep
IAB948889,new,90,1.0,1.0,False,0,keep
IAE1E11E5,new,54,0.981,1.0,False,0,keep
IB047F8C7,new,26,1.0,1.0,False,0,keep
IB2BA1922,new,335,1.0,1.0,False,0,keep
IB45DE768,new,11,1.0,1.0,False,0,keep
IB47565DE,new,39,1.0,1.0,False,0,keep
IB4B89F9C,new,305,1.0,1.0,False,0,keep
IB522F095,new,140,0.957,0.986,False,0,keep
IB5F523B2,new,30,1.0,1.0,False,0,keep
IB8D599AA,new,61,1.0,1.0,False,0,keep
IB8EEB9FB,new,251,0.984,0.984,False,0,keep
IB8F4E5BE,new,88,1.0,1.0,False,0,keep
IB9CA8898,new,92,1.0,1.0,False,0,keep
IBB199AAB,new,46,1.0,1.0,False,0,keep
IBB812389,new,3,1.0,1.0,False,0,keep
IBBB26EA1,new,13,1.0,1.0,False,0,keep
IBC775AF6,new,18,1.0,1.0,False,0,keep
IBD1386A4,new,32,0.812,0.812,False,0,keep
IBF8C5BB6,new,43,0.907,0.907,False,0,keep
IBFACCCDF,new,65,1.0,1.0,False,0,keep
IC05A6BE0,new,8,1.0,1.0,False,0,keep
IC3A7006F,new,1,0.0,0.0,False,0,exclude
IC555D0EB,new,91,0.989,1.0,False,0,keep
IC5CE7FE9,new,497,1.0,1.0,False,0,keep
IC6F06BCD,new,122,0.992,1.0,False,0,keep
IC7A5FC73,new,342,1.0,1.0,False,0,keep
IC87920B7,new,238,0.996,1.0,False,0,keep
IC99C24DC,new,9,1.0,1.0,False,0,keep
ICC9840B6,new,33,0.939,1.0,False,0,keep
ICD7F2351,new,8,1.0,1.0,False,0,keep
ICDC84458,new,181,0.994,1.0,False,0,keep
ID13E3867,new,475,0.998,0.998,False,0,keep
ID4AD2D0E,new,46,1.0,1.0,False,0,keep
ID5714205,new,463,1.0,1.0,False,0,keep
ID8FE83E3,new,734,1.0,1.0,False,0,keep
IDA8C4CE5,new,23,1.0,1.0,False,0,keep
IDAB254F1,new,295,1.0,1.0,False,0,keep
IDACD7FC0,new,33,1.0,1.0,False,0,keep
IDAD44BA2,new,28,1.0,1.0,False,0,keep
IDB6093E9,new,154,1.0,1.0,False,0,keep
IDBFF9DE3,new,421,0.995,1.0,False,0,keep
IDDA7F69E,new,5,1.0,1.0,False,0,keep
IDDB46142,new,15,1.0,1.0,False,0,keep
IE0AB7438,new,79,0.975,0.975,False,0,keep
IE166DA22,new,108,0.843,0.981,False,0,keep
IE1B4BBB9,new,383,1.0,1.0,False,0,keep
IE2421BEA,new,570,1.0,1.0,False,0,keep
IE5895799,new,227,0.996,1.0,False,0,keep
IE79CC998,new,25,1.0,1.0,False,0,keep
IE8EB4CB4,new,15,1.0,1.0,False,0,keep
IE9C4806D,new,50,1.0,1.0,False,0,keep
IEA9B747E,new,283,0.996,1.0,False,0,keep
IEAAE08E1,new,8,1.0,1.0,False,0,keep
IEB5D4BEB,new,15,1.0,1.0,False,0,keep
IEE67309C,new,230,0.987,0.996,False,0,keep
IEEB908B0,new,14,1.0,1.0,False,0,keep
IEEBAD11E,new,13,1.0,1.0,False,0,keep
IEEC9CCA9,new,6,1.0,1.0,False,0,keep
IEF3A4022,new,272,1.0,1.0,False,0,keep
IEFE24A29,new,8,1.0,1.0,False,0,keep
IF30A1358,new,13,1.0,1.0,False,0,keep
IF3ACC3E1,new,45,1.0,1.0,False,0,keep
IF428CDDB,new,674,0.999,1.0,False,0,keep
IF4C4BF01,new,237,0.992,1.0,False,0,keep
IF69FF8A7,new,20,1.0,1.0,False,0,keep
IF6B54962,new,19,1.0,1.0,False,0,keep
IF7A04537,new,195,1.0,1.0,False,0,keep
IF84B2E71,new,124,0.984,0.984,False,0,keep
IF85C9484,new,337,0.982,0.991,False,0,keep
IFA88A536,new,254,0.992,1.0,False,0,keep
IFC5AD8FD,new,51,1.0,1.0,False,0,keep
IFE0B60AA,new,17,1.0,1.0,False,0,keep
IFF541F44,new,221,1.0,1.0,False,0,keep
IFFA911F5,new,63,1.0,1.0,False,0,keep
P000012,old,3,1.0,1.0,False,0,keep
P000013,old,44,1.0,1.0,False,0,keep
P000015,old,426,1.0,1.0,False,0,keep
P000016,old,63,0.048,0.048,False,0,exclude
P000017,old,17,0.059,0.059,False,0,exclude
P000020,old,20,1.0,1.0,False,0,keep
P000021,old,195,0.913,0.928,False,0,keep
P000022,old,61,1.0,1.0,False,0,keep
P000024,old,73,1.0,1.0,False,0,keep
P000025,old,185,1.0,1.0,False,0,keep
P000026,old,26,1.0,1.0,False,0,keep
P000027,old,52,0.173,1.0,True,2,realigned
P000028,old,172,0.977,0.977,False,0,keep
P000029,old,156,1.0,1.0,False,0,keep
P000030,old,46,1.0,1.0,False,0,keep
P000031,old,15,1.0,1.0,False,0,keep
P000034,old,280,1.0,1.0,False,0,keep
P000036,old,51,1.0,1.0,False,0,keep
P000037,old,168,0.024,0.981,True,3,realigned
P000042,old,24,0.083,1.0,True,1,realigned
P000044,old,250,1.0,1.0,False,0,keep
P000046,old,284,1.0,1.0,False,0,keep
P000048,old,55,1.0,1.0,False,0,keep
P000051,old,171,0.105,0.934,True,9,realigned
P000054,old,236,1.0,1.0,False,0,keep
P000055,old,110,0.991,0.991,False,0,keep
P000063,old,160,0.031,1.0,True,4,realigned
P000066,old,35,1.0,1.0,False,0,keep
P000067,old,382,0.997,0.997,False,0,keep
P000068,old,172,0.192,0.994,True,6,realigned
P000070,old,105,0.962,0.962,False,0,keep
P000071,old,147,0.973,0.993,False,0,keep
P000073,old,56,0.964,0.964,False,0,keep
P000074,old,116,0.103,0.931,True,1,realigned
P000075,old,20,1.0,1.0,False,0,keep
P000078,old,684,0.999,0.999,False,0,keep
P000080,old,182,1.0,1.0,False,0,keep
P000081,old,196,1.0,1.0,False,0,keep
P000083,old,225,0.267,1.0,True,2,realigned
P000084,old,76,0.987,0.987,False,0,keep
P000085,old,248,0.585,1.0,True,2,realigned
P000087,old,489,0.91,0.91,False,0,keep
P000089,old,165,1.0,1.0,False,0,keep
P000090,old,123,1.0,1.0,False,0,keep
P000094,old,41,1.0,1.0,False,0,keep
P000096,old,13,1.0,1.0,False,0,keep
P000098,old,38,0.368,1.0,True,3,realigned
P000099,old,88,1.0,1.0,False,0,keep
P000100,old,22,0.409,0.409,False,0,keep
P000101,old,118,0.059,0.965,True,6,realigned
P000102,old,10,1.0,1.0,False,0,keep
P000103,old,5,1.0,1.0,False,0,keep
P000111,old,500,0.058,0.996,True,4,realigned
P000112,old,15,1.0,1.0,False,0,keep
P000114,old,36,1.0,1.0,False,0,keep
P000115,old,171,0.988,0.988,False,0,keep
P000118,old,42,0.976,0.976,False,0,keep
P000119,old,119,1.0,1.0,False,0,keep
P000122,old,25,1.0,1.0,False,0,keep
P000123,old,378,0.995,0.995,False,0,keep
P000127,old,25,1.0,1.0,False,0,keep
P000128,old,86,0.884,0.884,False,0,keep
P000129,old,213,1.0,1.0,False,0,keep
P000132,old,129,0.674,0.806,False,0,keep
P000134,old,9,1.0,1.0,False,0,keep
P000135,old,58,1.0,1.0,False,0,keep
P000136,old,15,1.0,1.0,False,0,keep
P000140,old,68,0.118,0.953,True,3,realigned
P000141,old,48,0.979,0.979,False,0,keep
P000144,old,109,0.303,1.0,True,3,realigned
P000145,old,109,0.982,0.982,False,0,keep
P000151,old,249,0.108,0.975,True,5,realigned
P000152,old,4,1.0,1.0,False,0,keep
P000153,old,104,0.067,0.916,True,5,realigned
P000155,old,81,0.111,0.933,True,6,realigned
P000157,old,490,1.0,1.0,False,0,keep
P000159,old,146,1.0,1.0,False,0,keep
P000160,old,969,0.999,0.999,False,0,keep
P000161,old,345,0.681,0.678,False,0,keep
P000162,old,35,1.0,1.0,False,0,keep
P000164,old,313,1.0,1.0,False,0,keep
P000167,old,16,1.0,1.0,False,0,keep
P000168,old,18,1.0,1.0,False,0,keep
P000169,old,197,1.0,1.0,False,0,keep
P000170,old,71,0.239,0.986,True,4,realigned
P000171,old,32,1.0,1.0,False,0,keep
P000172,old,152,1.0,1.0,False,0,keep
P000173,old,39,1.0,1.0,False,0,keep
P000175,old,338,0.118,0.997,True,4,realigned
P000177,old,392,1.0,1.0,False,0,keep
P000179,old,172,0.163,0.988,True,6,realigned
P000180,old,442,1.0,1.0,False,0,keep
P000183,old,9,1.0,1.0,False,0,keep
P000185,old,67,0.0,0.95,True,2,realigned
P000186,old,74,1.0,1.0,False,0,keep
P000187,old,9,1.0,1.0,False,0,keep
P000188,old,3,1.0,1.0,False,0,keep
P000189,old,10,0.3,0.3,False,0,keep
P000193,old,23,0.087,1.0,True,1,realigned
P000194,old,7,1.0,1.0,False,0,keep
P000195,old,227,0.145,0.986,True,16,realigned
P000197,old,33,1.0,1.0,False,0,keep
P000198,old,160,0.956,0.956,False,0,keep
P000199,old,237,0.194,0.981,True,8,realigned
P000200,old,16,1.0,1.0,False,0,keep
P000201,old,8,0.75,0.75,False,0,keep
P000203,old,150,0.993,0.993,False,0,keep
P000207,old,212,0.943,0.953,False,0,keep
P000211,old,53,1.0,1.0,False,0,keep
P000213,old,164,1.0,1.0,False,0,keep
P000215,old,25,0.16,0.957,True,1,realigned
P000216,old,84,0.988,0.988,False,0,keep
P000217,old,14,1.0,1.0,False,0,keep
P000218,old,131,1.0,1.0,False,0,keep
P000219,old,48,0.146,0.977,True,2,realigned
P000224,old,583,0.988,0.988,False,0,keep
P000225,old,49,0.163,0.933,True,2,realigned
P000226,old,67,0.045,0.045,False,0,exclude
P000227,old,151,1.0,1.0,False,0,keep
P000229,old,326,0.083,0.923,True,7,realigned
P000230,old,41,1.0,1.0,False,0,keep
P000236,old,108,0.991,0.991,False,0,keep
P000237,old,104,1.0,1.0,False,0,keep
P000240,old,58,1.0,1.0,False,0,keep
P000241,old,266,0.898,0.898,False,0,keep
P000242,old,270,0.104,0.966,True,4,realigned
P000245,old,8,1.0,1.0,False,0,keep
P000246,old,233,0.948,0.948,False,0,keep
P000247,old,8,1.0,1.0,False,0,keep
P000250,old,160,0.062,0.994,True,2,realigned
P000251,old,40,1.0,1.0,False,0,keep
P000252,old,26,1.0,1.0,False,0,keep
P000253,old,13,0.923,0.923,False,0,keep
P000254,old,109,1.0,1.0,False,0,keep
P000259,old,129,0.992,0.992,False,0,keep
P000263,old,430,1.0,1.0,False,0,keep
P000269,old,29,0.414,0.414,False,0,keep
P000275,old,14,1.0,1.0,False,0,keep
