pecha_id,split,source_batch,chars,n_gold
I0156A8B1,train,new,62574,23
I048844DB,train,new,50543,58
I069801F1,train,new,55881,3
I07240379,test,new,140805,118
I07ECF0AE,train,new,93532,10
I08405360,train,new,346900,250
I0B81CD66,train,new,347591,479
I0FCFA88F,test,new,239456,248
I10C4C4B5,train,new,206837,107
I130B5D0F,train,new,82233,20
I163178A0,train,new,7522,20
I1637B774,train,new,27637,11
I19A08A51,val,new,14897,19
I1DCBD5CC,val,new,151607,52
I2133CA39,train,new,299998,522
I23323023,train,new,84969,1
I2342D649,train,new,453046,163
I24EDBDA0,train,new,559845,118
I25463E37,train,new,162273,24
I2618C5EC,train,new,84690,40
I27E347E9,train,new,402984,162
I29CFF9F3,train,new,281600,147
I29E8AA65,train,new,270007,94
I2B02A144,train,new,560215,127
I2D0F4FAF,train,new,30011,8
I2D96E5C8,train,new,570550,489
I2E52374B,train,new,100711,280
I2EAAF38A,val,new,133233,126
I2FCD4B1D,val,new,674216,327
I319DAFF7,test,new,6503,15
I31F3338B,train,new,12232,41
I32431963,train,new,21239,24
I330D366C,train,new,129105,32
I33763376,train,new,111066,57
I36A7A668,test,new,360191,88
I3B871A64,train,new,26690,31
I3F4A91F5,test,new,330806,367
I40E5024E,train,new,198256,41
I4232A561,train,new,25678,39
I45222122,train,new,292571,186
I4A6AC1AA,train,new,28737,5
I4ABDA91A,train,new,521338,63
I4B1806B4,val,new,204827,25
I4BECA32D,train,new,281933,153
I4CAE7B8B,train,new,260997,279
I4E0DAA7C,val,new,193815,129
I4EE8C636,train,new,407949,137
I4FABF1F8,train,new,247608,123
I4FD99A33,val,new,293101,211
I4FDF07E7,val,new,10399,52
I5048861E,train,new,26999,33
I5134B437,train,new,336701,13
I518A01A8,val,new,290789,11
I51B9FE5F,train,new,256065,70
I52248444,test,new,234035,236
I54375004,train,new,111178,24
I55D7A55C,train,new,30274,165
I575514A8,test,new,55550,77
I577D1677,val,new,37932,11
I57BB7B28,train,new,583830,347
I587B7DED,train,new,22518,8
I5AEEE5CA,train,new,499234,483
I5BFCBB3F,train,new,17335,76
I5F5D9F5A,train,new,156989,139
I60D0ED54,val,new,21161,25
I617FDD1E,train,new,3076,14
I6193773E,train,new,38378,26
I61AB8DA8,val,new,244959,228
I62D7430C,train,new,28689,10
I6380CEC4,val,new,413240,185
I64B5DDDD,train,new,166926,36
I6A834445,train,new,58032,56
I6F43CD1F,train,new,14830,15
I74772DFF,train,new,189248,52
I786395B4,train,new,64332,344
I78C84F85,train,new,85602,23
I7D476A8B,test,new,256893,55
I8006C360,train,new,66302,26
I849C345E,train,new,234862,48
I85485484,train,new,5985,18
I85C28EDA,train,new,167221,44
I8698A1DF,val,new,96422,5
I881A57E8,train,new,123453,100
I88977D82,train,new,244713,215
I88CF073C,train,new,199779,4
I88DA3111,val,new,10195,29
I895C519A,val,new,19661,77
I8961718B,train,new,287997,111
I8994AAB2,train,new,321927,595
I8A57AE06,train,new,9702,29
I8B49E87B,val,new,315392,83
I8D6D2565,train,new,52135,27
I8E747E8E,val,new,79652,75
I8EC6D8E9,train,new,37575,26
I91949F99,train,new,256137,278
I920AA7AC,train,new,336116,536
I9434034F,train,new,42966,6
I9658BC87,train,new,559981,10
I9779E60E,val,new,57331,13
I97B90DC0,train,new,301570,150
I9811592F,val,new,116840,26
I98D03292,train,new,412649,814
I99DF06AA,train,new,475299,112
I99F347E4,train,new,12596,7
I9AEEF96A,test,new,11369,22
I9B6A4525,test,new,246392,196
I9CB71958,train,new,31805,192
I9D810AA7,train,new,19336,3
I9D9C7AC9,test,new,14402,42
I9E666AF8,train,new,19307,7
I9FF2B59B,train,new,153228,34
IA2F1ACFA,train,new,284423,344
IA3DD1ADA,train,new,13071,33
IA473D353,val,new,108809,11
IA736981A,train,new,58044,112
IAA85B9B5,train,new,10832,13
IAAADCAA0,train,new,88023,6
IAB948889,train,new,86696,90
IAE1E11E5,val,new,150336,54
IB047F8C7,train,new,272888,26
IB2BA1922,train,new,790885,335
IB45DE768,train,new,7695,11
IB47565DE,train,new,275566,39
IB4B89F9C,train,new,425538,305
IB522F095,train,new,281185,140
IB5F523B2,val,new,4544,30
IB8D599AA,train,new,388143,61
IB8EEB9FB,train,new,328903,251
IB9CA8898,train,new,32658,92
IBB199AAB,train,new,74644,46
IBB812389,train,new,54112,3
IBBB26EA1,train,new,18588,13
IBC775AF6,train,new,284388,18
IBD1386A4,train,new,189841,32
IBF8C5BB6,train,new,256079,43
IBFACCCDF,train,new,141184,65
IC05A6BE0,test,new,126988,8
IC555D0EB,train,new,300840,91
IC5CE7FE9,train,new,339122,497
IC6F06BCD,test,new,272537,122
IC7A5FC73,train,new,357663,342
IC87920B7,train,new,200891,238
IC99C24DC,train,new,3111,9
ICC9840B6,train,new,600774,33
ICD7F2351,train,new,32384,8
